 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   9.40000057       2.64151134E-02   3.58487852E-03   2.99999919E-02
   9.50000000       2.64110230E-02   3.58896912E-03   2.99999919E-02
   9.60000038       2.64070742E-02   3.59291816E-03   2.99999919E-02
   9.69999981       2.64032613E-02   3.59673053E-03   2.99999919E-02
   9.80000019       2.63995808E-02   3.60041112E-03   2.99999919E-02
   9.90000057       2.63960268E-02   3.60396458E-03   2.99999919E-02
   10.0000000       2.63925958E-02   3.60739511E-03   2.99999900E-02
   10.1000004       2.63892841E-02   3.61070712E-03   2.99999919E-02
   10.1999998       2.63860859E-02   3.61390482E-03   2.99999900E-02
   10.3000002       2.63829995E-02   3.61699192E-03   2.99999919E-02
   10.4000006       2.63800193E-02   3.61997262E-03   2.99999919E-02
   10.5000000       2.63771415E-02   3.62285040E-03   2.99999919E-02
   10.6000004       2.63743624E-02   3.62562877E-03   2.99999919E-02
   10.6999998       2.63716802E-02   3.62831145E-03   2.99999919E-02
   10.8000002       2.63690893E-02   3.63090169E-03   2.99999900E-02
   10.9000006       2.63665877E-02   3.63340252E-03   2.99999900E-02
   11.0000000       2.63641737E-02   3.63581721E-03   2.99999900E-02
   11.1000004       2.63618417E-02   3.63814854E-03   2.99999900E-02
   11.1999998       2.63595898E-02   3.64039955E-03   2.99999900E-02
   11.3000002       2.63574161E-02   3.64257302E-03   2.99999900E-02
   11.4000006       2.63553169E-02   3.64467176E-03   2.99999882E-02
   11.5000000       2.63532903E-02   3.64669831E-03   2.99999882E-02
   11.6000004       2.63513327E-02   3.64865502E-03   2.99999882E-02
   11.6999998       2.63494439E-02   3.65054444E-03   2.99999882E-02
   11.8000002       2.63476204E-02   3.65236891E-03   2.99999900E-02
   11.9000006       2.63458584E-02   3.65413050E-03   2.99999882E-02
   12.0000000       2.63441578E-02   3.65583156E-03   2.99999900E-02
   12.1000004       2.63425149E-02   3.65747418E-03   2.99999900E-02
   12.1999998       2.63409298E-02   3.65906022E-03   2.99999900E-02
   12.3000002       2.63393987E-02   3.66059178E-03   2.99999900E-02
   12.4000006       2.63379198E-02   3.66207073E-03   2.99999900E-02
   12.5000000       2.63364911E-02   3.66349868E-03   2.99999900E-02
   12.6000004       2.63351128E-02   3.66487773E-03   2.99999900E-02
   12.6999998       2.63337810E-02   3.66620929E-03   2.99999900E-02
   12.8000002       2.63324957E-02   3.66749521E-03   2.99999900E-02
   12.9000006       2.63312533E-02   3.66873690E-03   2.99999900E-02
   13.0000000       2.63300538E-02   3.66993598E-03   2.99999900E-02
   13.1000004       2.63288952E-02   3.67109384E-03   2.99999900E-02
   13.1999998       2.63277777E-02   3.67221190E-03   2.99999900E-02
   13.3000002       2.63266973E-02   3.67329153E-03   2.99999882E-02
   13.4000006       2.63256542E-02   3.67433415E-03   2.99999882E-02
   13.5000000       2.63246465E-02   3.67534091E-03   2.99999882E-02
   13.6000004       2.63236742E-02   3.67631321E-03   2.99999882E-02
   13.6999998       2.63227355E-02   3.67725198E-03   2.99999882E-02
   13.8000002       2.63218284E-02   3.67815862E-03   2.99999863E-02
   13.9000006       2.63209529E-02   3.67903407E-03   2.99999863E-02
   14.0000000       2.63201073E-02   3.67987948E-03   2.99999863E-02
   14.1000004       2.63192914E-02   3.68069601E-03   2.99999882E-02
   14.1999998       2.63185035E-02   3.68148438E-03   2.99999882E-02
   14.3000002       2.63177417E-02   3.68224573E-03   2.99999882E-02
   14.4000006       2.63170060E-02   3.68298101E-03   2.99999863E-02
   14.5000000       2.63162963E-02   3.68369115E-03   2.99999882E-02
   14.6000004       2.63156109E-02   3.68437683E-03   2.99999882E-02
   14.6999998       2.63149478E-02   3.68503900E-03   2.99999863E-02
   14.8000002       2.63143089E-02   3.68567859E-03   2.99999882E-02
   14.9000006       2.63136905E-02   3.68629606E-03   2.99999863E-02
   15.0000000       2.63130944E-02   3.68689233E-03   2.99999863E-02
   15.1000004       2.63125189E-02   3.68746836E-03   2.99999863E-02
   15.1999998       2.63119619E-02   3.68802459E-03   2.99999863E-02
   15.3000002       2.63114255E-02   3.68856173E-03   2.99999863E-02
   15.4000006       2.63109077E-02   3.68908048E-03   2.99999882E-02
   15.5000000       2.63104066E-02   3.68958153E-03   2.99999882E-02
   15.6000004       2.63099223E-02   3.69006535E-03   2.99999882E-02
   15.6999998       2.63094548E-02   3.69053241E-03   2.99999863E-02
   15.8000002       2.63090041E-02   3.69098363E-03   2.99999882E-02
   15.9000006       2.63085682E-02   3.69141926E-03   2.99999882E-02
   16.0000000       2.63081472E-02   3.69183999E-03   2.99999863E-02
   16.1000004       2.63077412E-02   3.69224628E-03   2.99999882E-02
   16.2000008       2.63073482E-02   3.69263859E-03   2.99999863E-02
   16.3000011       2.63069700E-02   3.69301764E-03   2.99999882E-02
   16.3999996       2.63066050E-02   3.69338365E-03   2.99999882E-02
   16.5000000       2.63062511E-02   3.69373709E-03   2.99999882E-02
   16.6000004       2.63059102E-02   3.69407842E-03   2.99999882E-02
   16.7000008       2.63055805E-02   3.69440811E-03   2.99999882E-02
   16.8000011       2.63052620E-02   3.69472639E-03   2.99999882E-02
   16.8999996       2.63049547E-02   3.69503396E-03   2.99999882E-02
   17.0000000       2.63046585E-02   3.69533082E-03   2.99999900E-02
   17.1000004       2.63043717E-02   3.69561766E-03   2.99999900E-02
   17.2000008       2.63040941E-02   3.69589450E-03   2.99999882E-02
   17.3000011       2.63038259E-02   3.69616202E-03   2.99999882E-02
   17.3999996       2.63035670E-02   3.69642023E-03   2.99999863E-02
   17.5000000       2.63033174E-02   3.69666959E-03   2.99999863E-02
   17.6000004       2.63030771E-02   3.69691057E-03   2.99999882E-02
   17.7000008       2.63028443E-02   3.69714317E-03   2.99999882E-02
   17.8000011       2.63026189E-02   3.69736785E-03   2.99999863E-02
   17.8999996       2.63024028E-02   3.69758485E-03   2.99999882E-02
   18.0000000       2.63021942E-02   3.69779440E-03   2.99999882E-02
   18.1000004       2.63019912E-02   3.69799673E-03   2.99999882E-02
   18.2000008       2.63017956E-02   3.69819207E-03   2.99999882E-02
   18.3000011       2.63016075E-02   3.69838090E-03   2.99999882E-02
   18.3999996       2.63014250E-02   3.69856320E-03   2.99999882E-02
   18.5000000       2.63012480E-02   3.69873922E-03   2.99999863E-02
   18.6000004       2.63010785E-02   3.69890919E-03   2.99999882E-02
   18.7000008       2.63009146E-02   3.69907334E-03   2.99999882E-02
   18.8000011       2.63007563E-02   3.69923189E-03   2.99999882E-02
   18.8999996       2.63006035E-02   3.69938510E-03   2.99999882E-02
   19.0000000       2.63004564E-02   3.69953294E-03   2.99999900E-02
   19.1000004       2.63003130E-02   3.69967567E-03   2.99999882E-02
   19.2000008       2.63001751E-02   3.69981350E-03   2.99999882E-02
   19.3000011       2.63000410E-02   3.69994668E-03   2.99999882E-02
   19.3999996       2.62999125E-02   3.70007521E-03   2.99999882E-02
   19.5000000       2.62997877E-02   3.70019954E-03   2.99999863E-02
   19.6000004       2.62996685E-02   3.70031944E-03   2.99999882E-02
   19.7000008       2.62995530E-02   3.70043539E-03   2.99999882E-02
   19.8000011       2.62994412E-02   3.70054739E-03   2.99999882E-02
   19.8999996       2.62993332E-02   3.70065542E-03   2.99999882E-02
   20.0000000       2.62992289E-02   3.70075973E-03   2.99999882E-02
   20.1000004       2.62991283E-02   3.70086054E-03   2.99999882E-02
   20.2000008       2.62990315E-02   3.70095787E-03   2.99999900E-02
   20.3000011       2.62989383E-02   3.70105193E-03   2.99999900E-02
   20.3999996       2.62988470E-02   3.70114273E-03   2.99999900E-02
   20.5000000       2.62987595E-02   3.70123051E-03   2.99999900E-02
   20.6000004       2.62986757E-02   3.70131526E-03   2.99999900E-02
   20.7000008       2.62985937E-02   3.70139698E-03   2.99999900E-02
   20.8000011       2.62985155E-02   3.70147591E-03   2.99999919E-02
   20.8999996       2.62984391E-02   3.70155228E-03   2.99999919E-02
   21.0000000       2.62983646E-02   3.70162586E-03   2.99999900E-02
   21.1000004       2.62982938E-02   3.70169710E-03   2.99999900E-02
   21.2000008       2.62982249E-02   3.70176579E-03   2.99999900E-02
   21.3000011       2.62981579E-02   3.70183215E-03   2.99999900E-02
   21.3999996       2.62980945E-02   3.70189617E-03   2.99999900E-02
