 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
  0.429999977       2.93719638E-02   9.53115430E-03   1.09688204E-03   3.99999991E-02
  0.439999998       2.93597598E-02   9.52050835E-03   1.11973123E-03   3.99999991E-02
  0.449999988       2.93476563E-02   9.50987451E-03   1.14246970E-03   3.99999991E-02
  0.459999979       2.93356515E-02   9.49925184E-03   1.16509805E-03   4.00000028E-02
  0.469999999       2.93237437E-02   9.48864035E-03   1.18761696E-03   3.99999991E-02
  0.479999989       2.93119326E-02   9.47804097E-03   1.21002703E-03   3.99999991E-02
  0.489999980       2.93002184E-02   9.46745276E-03   1.23232882E-03   4.00000028E-02
  0.500000000       2.92886011E-02   9.45687573E-03   1.25452294E-03   3.99999991E-02
  0.509999990       2.92770788E-02   9.44631081E-03   1.27660995E-03   3.99999991E-02
  0.519999981       2.92656515E-02   9.43575706E-03   1.29859045E-03   3.99999991E-02
  0.529999971       2.92543191E-02   9.42521542E-03   1.32046500E-03   3.99999991E-02
  0.539999962       2.92430799E-02   9.41468496E-03   1.34223432E-03   3.99999991E-02
  0.550000012       2.92319339E-02   9.40416567E-03   1.36389886E-03   3.99999991E-02
  0.560000002       2.92208809E-02   9.39365756E-03   1.38545921E-03   3.99999954E-02
  0.569999993       2.92099211E-02   9.38316155E-03   1.40691595E-03   3.99999991E-02
  0.579999983       2.91990526E-02   9.37267672E-03   1.42826966E-03   3.99999991E-02
  0.589999974       2.91882753E-02   9.36220307E-03   1.44952082E-03   3.99999991E-02
  0.599999964       2.91775875E-02   9.35174152E-03   1.47066999E-03   3.99999991E-02
  0.610000014       2.91669909E-02   9.34129115E-03   1.49171776E-03   3.99999991E-02
  0.620000005       2.91564837E-02   9.33085196E-03   1.51266472E-03   4.00000028E-02
  0.629999995       2.91460641E-02   9.32042394E-03   1.53351133E-03   3.99999991E-02
  0.639999986       2.91357338E-02   9.31000803E-03   1.55425817E-03   3.99999991E-02
  0.649999976       2.91254912E-02   9.29960329E-03   1.57490582E-03   4.00000028E-02
  0.659999967       2.91153360E-02   9.28920973E-03   1.59545476E-03   4.00000028E-02
  0.669999957       2.91052684E-02   9.27882735E-03   1.61590544E-03   3.99999991E-02
  0.680000007       2.90952865E-02   9.26845614E-03   1.63625844E-03   4.00000028E-02
  0.689999998       2.90853903E-02   9.25809611E-03   1.65651436E-03   3.99999991E-02
  0.699999988       2.90755797E-02   9.24774818E-03   1.67667365E-03   4.00000028E-02
  0.709999979       2.90658530E-02   9.23741143E-03   1.69673678E-03   3.99999991E-02
  0.719999969       2.90562119E-02   9.22708586E-03   1.71670422E-03   3.99999991E-02
  0.729999959       2.90466547E-02   9.21677146E-03   1.73657655E-03   4.00000028E-02
  0.740000010       2.90371794E-02   9.20646824E-03   1.75635424E-03   4.00000028E-02
  0.750000000       2.90277880E-02   9.19617619E-03   1.77603785E-03   4.00000028E-02
